,Group.1,G11.1.rna,G11.2.rna,G11.3.rna,G11.4.rna,G11.5.rna,G1.1.rna,G1.2.rna,G1.3.rna,G1.4.rna,G1.5.rna,V10A.1.rna,V10A.2.rna,V10A.3.rna,V10A.4.rna,V10A.5.rna
1241,Limnothrix,0.3440066559,0.5193330378,0.6395802716,0.6099685327,0.3141149435,0.0622528019,0.4408179819,0.611060897,1.1916341441,0.4731889674,0.093689778,0.0486184484,0.1452544852,0.2882678208,0.2974679455
1242,Linderina,0,0,0,0,0,0,0,0,0,0.0727983027,0,0,0,0,0
1243,Lipomyces,0,0,0.1279160543,0,0,0,0,0,0,0,0,0,0,0,0
1244,Lishizhenia,0,0,0.0639580272,0,0,0,0,0,0.0384398111,0,0,0,0,0,0
1245,Listeria,0.1720033279,0.3894997785,0.2558321086,0.1524921332,0.3589885069,0.4357696133,0.3205948959,0.804027496,0.6919165998,0.7279830269,1.1242773357,0.2430922422,0.2905089702,1.0295279317,0.7808533567
1246,Litoreibacter,0,0.259666519,0.6395802716,0.0508307111,0.0897471267,0,0.3606692579,0.2572887987,0.0768796222,0,0,0,0.0363136213,0.0411811173,0.0371834932
1247,Litorimicrobium,0,0,0,0,0,0,0,0.0321610998,0,0.0363991513,0.140534667,0,0,0,0.0743669864
1248,Lobosporangium,0,0,0,0,0,0,0.040074362,0.0643221997,0,0,0,0,0,0,0
1249,Lodderomyces,0,0.1731110126,0,0,0,0,0,0,0,0,0,0,0.0363136213,0,0
1250,Lokiarchaeum,0,0.0432777532,0,0.8132913769,0.1346206901,0,0,0.0321610998,0,0,0,0,0,0.0823622345,0.5205689045
1251,Loktanella,0.5160099838,0.9521105698,0.4477061903,1.3215984877,0.2692413802,0.1245056038,0.360669258,0.6753830966,0.3459582999,0.5095881188,0.5621386678,1.0209874174,0.5810179405,0.3706300554,0.4833854114
1252,Longilinea,0.8600166397,1.8176656325,1.9187408148,2.4398741309,1.5257011543,0.3112640095,1.1621564978,1.6723771914,1.6913516884,0.8735796322,0.5152937789,0.4861844844,0.7988996684,1.2766146354,2.4541105498
1253,Longispora,23.1344476053,8.8286616443,5.4364323088,7.6246066593,1.121839084,62.0037906976,7.8946493114,15.2122002233,5.5353327981,3.2395244697,70.4547130317,73.6569493945,10.2041275807,11.736618422,1.3757892476
1254,Lonsdalea,0,0.0865555063,0.1279160543,0,0,0,0,0.0321610998,0.0768796222,0,0,0,0,0.0823622345,0.0371834932
1255,Luminiphilus,0,0,0,0,0,0.0622528019,0,0,0.1153194333,0.0727983027,0.093689778,0,0,0.0411811173,0
1256,Lunatimonas,0.086001664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,Luteibacter,0.4300083198,0.1731110126,0.1279160543,0.0508307111,0.4038620703,0.0622528019,0.280520534,0.6432219968,0.4612777332,0.5095881187,0.140534667,0.0486184484,0.0726272426,0.1235433518,0.3718349318
1258,Luteimonas,0.3440066559,1.2983325948,2.8141531951,2.6431969752,1.6154482808,0.3112640095,1.2423052217,1.0934773944,3.3442635656,1.8927558697,0.7026733349,0.5834213813,0.6536451831,1.3589768701,2.4169270568
1259,Luteipulveratus,38.7867504461,22.8506536672,10.1053682915,2.3382127088,0.5384827603,48.4949326843,22.6820888843,46.7944002637,18.6433083824,16.2340215002,51.6699125491,48.9587775842,6.1006883754,7.0831521706,2.3425600703
1260,Luteococcus,1.0320199674,0.259666519,0.1279160544,0.1016614222,0.0897471267,0.5602752171,0.4808923438,0.578899797,0.2306388666,0.0727983027,0.6558284457,1.312698108,0.1815681065,0.45299229,0.0371834932
1261,Lutibacter,0.086001664,0.519333038,0.7674963259,0.1016614221,0,0.5602752171,0.2404461719,0.7397052963,0.2306388666,0.109197454,0,0.2430922422,0.1815681064,0.4941734072,0.2231009591
1262,Lutibaculum,2.0640399351,3.5920535121,2.6862371408,6.3030081717,1.3462069008,2.1165952648,2.7651309772,4.0522985795,1.921990555,2.8755329562,2.998072895,2.9171069067,1.6341129579,2.141418098,2.1938260975
1263,Lutimaribacter,0,0,0,0,0.0448735634,0,0.080148724,0.0321610998,0.1153194333,0,0,0,0,0.1235433518,0.0743669864
1264,Lutispora,0.2580049919,0.0432777532,0.8314543531,0.1524921332,0.4936091969,0.1245056038,0.120223086,0.192966599,0.1537592444,0.0363991513,0,0.0486184484,0.1815681065,0.1235433518,0.1115504796
