Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Christensenellaceae,324,494,255,318,269,199,246,173,171,442,430,325,501,427,380
Chromatiaceae,12200,17870,9928,10821,9493,6664,8170,7336,5870,16978,17394,13034,18419,13412,11671
Chromobacteriaceae,11357,16507,9210,8975,8408,5744,7118,6396,5592,14370,16083,12591,16107,12261,10847
Chromochloridaceae,6,5,1,2,2,4,2,2,0,4,2,4,2,6,3
Chromulinaceae,5,3,9,2,4,2,2,0,3,2,9,4,7,6,5
Chroococcaceae,1169,1733,972,1141,950,700,859,701,647,1706,1634,1169,2020,1478,1297
Chroococcidiopsidaceae,1009,1365,798,858,810,516,714,556,456,1355,1344,938,1539,1171,991
Chroomonadaceae,14,19,13,4,11,12,14,4,6,24,28,14,28,21,7
Chrysiogenaceae,376,600,342,365,337,212,275,251,227,573,551,440,619,509,430
Chrysochromulinaceae,2204,2853,1609,1654,1473,1111,1370,1161,997,2875,2558,2004,3237,2263,1959
Chrysozymaceae,1,1,0,0,0,0,1,0,0,2,1,1,1,0,2
Chthoniobacteraceae,11077,14774,8142,19064,9899,6655,10628,8478,5221,14108,12729,10019,21351,16126,12782
Chthonomonadaceae,2234,3306,1865,1701,1506,1047,1379,1026,923,2482,2742,2139,3358,2728,1888
Chytriomycetaceae,1010,1483,803,854,747,552,724,590,438,1445,1363,962,1635,1153,956
Cladoniaceae,8,5,3,8,5,1,2,2,0,6,10,7,4,12,1
Cladosporiaceae,1934,2865,1537,1670,1413,965,1271,1167,934,2655,2491,1945,2917,2306,1785
Clavariaceae,2,0,1,0,0,0,0,0,0,2,2,0,4,0,0
Clavicipitaceae,8357,11524,6321,7114,5856,4085,5417,4512,3805,11538,10180,7493,12305,9139,7085
Clostridiaceae,18108,25820,14666,15525,13676,9604,12278,10196,8715,25269,23018,17518,27240,21406,17143
Clostridiales Family XIII. Incertae Sedis,498,771,364,416,366,300,333,267,204,715,605,498,717,540,515
Clostridiales Family XII. Incertae Sedis,253,389,225,213,208,150,166,152,148,352,361,268,403,338,247
Clostridiales Family XVII. Incertae Sedis,3800,5793,3094,2887,2926,2084,2409,2234,2023,4437,4636,3946,5970,4713,4126
Clostridiales Family XVI. Incertae Sedis,367,514,302,270,253,238,221,205,199,365,440,375,472,432,423
Coccomyxaceae,1342,1887,1036,1013,973,636,885,749,606,1758,1753,1283,2196,1624,1314
Codiaceae,1,0,0,1,1,0,2,0,2,4,1,3,1,3,2
Cohaesibacteraceae,281,515,251,304,214,177,232,196,149,437,397,309,493,393,289
Coleofasciculaceae,1930,2757,1485,1694,1436,1012,1316,1109,924,2766,2469,1925,2941,2196,1991
Colwelliaceae,2255,3199,1721,2012,1624,1183,1485,1242,1014,3216,3082,2203,3369,2443,2015
Comamonadaceae,76153,117437,63650,56649,56134,37989,45664,41492,38726,90517,104863,79269,109253,83923,75917
Competibacteraceae,1900,3058,1607,1772,1554,1108,1297,1125,998,2727,3042,2066,2943,2271,2003
Conexibacteraceae,30726,27124,8005,19676,15570,10969,17098,13505,6904,13384,16358,13620,38640,27655,19608
Coniochaetaceae,1524,2063,1088,1241,994,695,1016,824,650,2057,1890,1280,2223,1686,1301
Coniophoraceae,1539,2099,1161,1259,1093,805,942,800,700,2280,1883,1397,2406,1693,1384
Corallinaceae,3,9,2,6,4,8,4,3,2,4,3,8,7,6,5
Cordycipitaceae,5426,7300,3878,4399,3611,2572,3414,2941,2289,7213,6457,4823,7935,5755,4788
Coriobacteriaceae,2410,3541,2028,1956,1776,1344,1689,1406,1231,3176,3040,2463,3995,3061,2866
Coriolaceae,9744,13288,6940,7620,6667,4966,6234,5238,4190,14219,11974,8848,15446,10864,8999
Corticiaceae,2,4,4,0,0,0,2,0,0,1,4,0,2,3,0
Cortinariaceae,1367,1764,987,1068,920,660,862,647,580,2056,1931,1220,2058,1575,1117
Corynebacteriaceae,17535,24211,13382,14572,12545,8908,11862,9773,7758,24261,21216,16045,28684,19876,17588
Coscinodiscaceae,1,0,0,3,0,0,2,0,0,3,0,1,3,2,0
Costariaceae,5,0,1,1,0,0,2,1,1,2,1,0,2,3,0
Coxiellaceae,1403,2316,1425,1198,1285,887,858,870,782,1782,2065,1656,1891,1450,1186
Crenotrichaceae,490,751,443,426,406,279,347,306,198,695,763,555,752,549,533
Criblamydiaceae,394,707,441,404,358,206,270,255,220,493,481,422,583,504,379
Crocinitomicaceae,951,1207,604,618,505,367,576,397,347,1188,1027,643,1648,1133,776
Cryomorphaceae,655,830,432,456,405,276,392,334,259,778,726,497,994,677,593
Cryphonectriaceae,23,33,22,29,12,8,19,11,8,32,37,22,39,20,12
Crypthecodiniaceae,11,6,3,6,7,1,5,5,2,7,9,8,18,13,5
Cryptococcaceae,9965,13596,7647,7983,6753,4988,6575,5524,4353,13988,12468,9325,15319,11312,9293
Cryptomonadaceae,10,13,7,11,7,6,1,6,5,26,19,7,21,10,5
Cryptosporangiaceae,5407,5950,2859,4687,3250,2256,3889,2425,1732,7931,4933,3549,10305,5522,4781
Cryptosporidiidae,697,964,532,542,399,306,456,349,272,980,845,551,1063,739,483
Ctenocladaceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cucurbitariaceae,1203,1756,903,1261,902,610,835,735,561,1779,1594,1190,1962,1410,1012
Culicosporidae,110,109,48,55,71,50,58,53,33,113,137,100,134,96,45
Cuniculiplasmataceae,36,49,29,34,32,28,36,14,24,41,31,36,47,34,27
Cuniculitremaceae,945,1330,774,818,641,483,654,536,441,1352,1304,868,1550,1127,894
Cunninghamellaceae,2999,4094,2208,2372,2035,1402,1899,1579,1271,4088,3834,2479,4316,3175,2421
Cyanidiaceae,1122,1563,836,1012,792,573,780,670,494,1517,1431,1108,1665,1238,998
Cyanobacteriaceae,317,478,263,279,220,180,215,158,152,440,415,280,466,352,289
Cyanophoraceae,10,21,10,7,9,3,5,2,9,8,11,5,12,12,8
Cyanothecaceae,2073,3020,1664,1939,1714,1162,1529,1322,997,3166,2842,2096,3424,2492,2007
Cyclobacteriaceae,5293,6985,3755,4352,3672,2537,3436,2799,2186,7097,6812,4656,8726,5921,4818
Cyphellophoraceae,1123,1734,813,1170,755,523,770,620,454,1606,1384,931,1714,1285,995
Cytophagaceae,15989,21051,10847,12748,10660,7421,10189,8533,6449,20189,19359,13537,26361,18235,14130
Dacrymycetaceae,4711,6375,3607,3536,3207,2300,2884,2513,2100,6416,5662,4321,7488,5237,4381
Dasyaceae,4,8,2,4,1,3,0,2,3,1,3,1,3,7,2
Debaryomycetaceae,4040,5476,2927,3333,2707,1863,2665,2182,1677,5936,5400,3363,5886,4273,3174
Deferribacteraceae,760,1084,647,651,622,479,496,480,427,1052,1100,847,1207,973,879
Defluviitaleaceae,66,61,51,52,49,43,43,28,37,75,79,47,104,68,66
Dehalococcoidaceae,464,754,472,425,465,301,356,328,249,646,685,592,771,647,565
Deinococcaceae,12676,17723,9733,10489,9220,6551,8211,7089,5962,15685,15159,12347,19607,14474,12738
Delesseriaceae,1,2,3,1,0,3,0,1,1,3,5,1,2,1,6
Demequinaceae,6758,8886,4647,5240,4355,3116,4347,3451,2853,8298,7394,5830,11018,7646,7012
Dermabacteraceae,4544,5774,3093,3589,3196,2108,2840,2350,1893,5793,5023,3885,7298,5074,4448
Dermacoccaceae,4272,5450,2850,3751,2856,2028,2940,2230,1706,5953,4570,3543,7641,4874,4317
Dermateaceae,1524,2045,978,1438,1038,722,803,700,635,2445,1648,1152,1899,1491,1102
Dermatophilaceae,3658,4606,2432,2910,2402,1756,2395,1770,1456,4795,3966,3055,6240,4052,3673
Dermocarpellaceae,421,561,353,440,407,248,408,284,180,698,555,431,798,510,442
Desertifilaceae,481,690,378,440,412,262,355,291,254,673,666,534,842,644,483
Desmarestiaceae,3,2,1,0,3,4,0,5,2,1,4,3,3,2,0
Desulfarculaceae,1556,2267,1307,1313,1217,848,1001,895,760,1962,2161,1717,2425,1858,1750
Desulfobacteraceae,12043,17327,9986,11018,9821,6839,8416,7399,6328,17067,17796,13304,19688,14559,12687
Desulfobulbaceae,5267,7931,4351,4648,4247,2944,3825,3184,2681,7381,7580,5626,8367,6271,5483
