Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Myxococcales,97589,130785,68373,73962,69153,50252,57809,50977,45786,120436,131948,91023,161726,114056,104069
Nakamurellales,5036,5350,2753,4597,3021,2134,3772,2150,1607,7603,4344,3061,10143,5156,4382
Nanoarchaeales,18,33,26,17,21,17,25,22,18,44,46,31,42,28,18
Natranaerobiales,139,246,132,93,113,88,113,94,60,172,184,142,254,157,120
Natrialbales,5862,8342,4628,5024,4385,3113,3903,3453,2751,7483,7245,5666,8906,6530,5661
Nautiliales,151,197,140,139,108,81,119,84,85,202,195,171,231,172,160
Naviculales,858,1143,648,738,573,373,531,497,372,1126,1056,761,1198,874,684
Neisseriales,16321,23683,13329,13080,12146,8274,10299,9142,7973,21048,22952,17852,23419,17589,15438
Nemaliales,33,38,29,22,18,19,24,16,17,35,33,21,52,35,29
Nemastomatales,1,5,3,0,1,1,3,2,0,5,2,3,1,8,2
Neocallimastigales,1484,2033,1068,1302,986,709,976,709,637,2167,1904,1266,2259,1652,1116
Neolectales,357,582,297,377,306,210,245,211,168,485,452,337,543,422,297
Nevskiales,13466,21785,13353,9836,9238,6280,6730,6810,6129,18463,18961,13585,14984,11335,10302
Nitriliruptorales,2361,3172,1635,1698,1656,1163,1405,1257,987,2633,2464,2137,3904,2937,3079
Nitrosomonadales,10912,15861,8793,8635,8180,5513,7426,6272,5397,13760,16703,12634,16436,12010,11631
Nitrosopumilales,431,640,507,372,510,382,325,361,424,438,924,1052,821,644,481
Nitrososphaerales,2349,2730,2532,2917,4776,3510,3117,3811,2232,1228,5679,5629,8122,5880,4445
Nitrospinales,675,1021,642,612,587,423,447,463,425,884,1079,832,1079,885,824
Nitrospirales,13074,20768,12815,11398,12319,8918,8806,9416,8495,21954,32934,22497,23153,20271,29436
Noctilucales,4,9,8,5,2,3,0,1,2,4,3,2,15,2,3
Nostocales,19472,27189,14798,18216,15333,10506,14483,11891,9160,29125,26014,18793,32792,22713,19432
Oceanospirillales,27619,39832,22555,23825,21072,14652,18446,16359,13021,38721,38181,29328,40972,30152,25407
Oedogoniales,4,8,0,0,0,1,3,0,0,4,3,4,5,3,1
Onygenales,13415,18884,10153,11981,9545,6767,8866,7292,5993,19217,16691,12402,20218,15049,12094
Ophiostomatales,6771,9582,5106,5641,4636,3240,4307,3739,2969,9012,8148,6383,10624,7765,6476
Opitutales,13568,18309,10371,12996,9261,6469,8881,7215,6537,16243,17299,12526,22787,16642,12869
Orbales,648,958,547,629,433,381,491,401,297,1021,926,589,989,669,495
Orbiliales,2801,4027,2168,2464,1980,1498,1928,1585,1284,4099,3579,2640,4530,3147,2660
Oscillatoriales,17198,24692,13599,15471,13620,9471,12072,10426,8334,24817,23385,17128,28335,20495,17529
Ostropales,5,1,2,4,1,1,1,2,2,5,5,2,6,3,2
Oxyrrhinales,3,3,2,2,1,1,5,0,1,4,3,6,4,2,3
Palmariales,3,1,0,4,3,1,0,0,2,1,4,2,1,0,1
Palmophyllales,10,4,3,0,1,2,1,3,2,13,6,1,9,4,2
Parachlamydiales,2157,3766,2182,2099,1785,1201,1407,1243,1168,2875,2724,2364,2934,2364,1778
Parmales,2,8,4,2,0,2,0,1,5,1,1,5,3,2,0
Parvularculales,683,1019,560,642,508,347,519,394,293,943,901,629,1004,764,649
Pasteurellales,2445,3738,2101,2279,1865,1374,1695,1488,1223,3795,3569,2482,3815,2808,2117
Pavlovales,9,12,4,2,1,3,6,2,2,10,4,5,13,4,8
Pedinellales,1,2,1,2,0,0,0,0,0,0,0,0,3,0,0
Pedinomonadales,7,2,4,7,2,1,4,1,2,7,0,3,5,4,5
Pelagibacterales,884,1329,722,817,657,440,575,504,360,1264,1250,827,1347,1065,795
Pelagomonadales,7176,9042,4724,4631,4448,3136,3978,3477,3000,7501,7820,6147,11828,8284,7741
Peltigerales,12,10,6,18,5,2,4,3,2,18,12,8,21,8,2
Peniculida,868,1132,592,756,560,416,605,455,377,1318,1086,728,1337,933,562
