Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Euglenaria,1,1,0,3,0,1,0,1,2,0,1,0,3,1,2
Euglypha,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Eunotia,3,4,2,2,3,0,0,1,1,1,5,1,4,1,0
Euplotes,4,6,4,1,5,2,2,2,1,11,9,9,6,5,3
Euryhalocaulis,401,577,313,367,313,207,244,219,192,512,536,340,558,449,388
Eutreptia,2,3,1,0,2,1,1,1,1,1,1,1,0,3,0
Eutreptiella,1,3,0,1,3,3,1,0,2,2,5,3,1,2,4
Eutypa,835,1233,587,769,544,444,546,437,359,1267,1118,808,1266,924,738
Ewingella,140,167,104,102,61,61,86,61,51,158,163,108,180,119,86
Exidia,2854,3920,2204,2249,2087,1398,1893,1532,1290,3843,3578,2689,4345,3377,2686
Exiguobacterium,953,1325,756,819,760,477,615,555,449,1288,1208,923,1402,1101,866
Exophiala,6539,9785,4866,6855,4682,3046,4434,3460,2806,10060,8254,5696,9634,7107,5480
Ezakiella,31,47,30,29,43,22,16,26,21,41,44,32,41,45,40
Fabibacter,571,704,384,432,387,298,344,276,248,694,703,489,863,530,483
Facklamia,196,327,203,168,170,132,176,116,107,312,268,197,321,235,187
Faecalibacterium,888,1348,701,683,681,436,618,527,454,1264,1242,867,1309,1034,836
Faecalibaculum,106,123,65,101,55,58,84,53,60,133,145,96,175,94,86
Faecalicoccus,35,49,28,21,15,19,19,13,22,49,48,28,33,28,29
Faecalitalea,9,21,8,16,9,0,9,2,5,11,24,11,23,9,4
Falsirhodobacter,126,220,109,138,109,79,100,79,52,195,164,125,206,157,156
Fangia,78,136,61,70,58,47,69,57,45,145,123,83,144,99,73
Fenollaria,23,35,13,13,20,9,22,11,10,33,43,22,30,25,26
Fermentimonas,13,22,12,7,12,5,7,5,6,18,16,15,20,20,9
Ferrimicrobium,1486,1959,914,1227,1064,742,975,703,625,1811,1375,1169,2190,1356,1277
Ferrimonas,1031,1492,856,922,723,581,657,575,488,1522,1456,1054,1522,1200,925
Ferriphaselus,551,740,420,369,373,241,305,322,248,577,803,649,753,591,594
Ferrithrix,1682,2299,1038,1187,1185,822,998,771,645,1484,1570,1469,2128,1452,1521
Ferroglobus,48,128,69,51,54,54,38,43,34,103,112,93,130,79,70
Ferroplasma,94,187,126,111,103,70,78,57,63,170,176,147,183,120,84
