Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Fusobacteriia,1950,2497,1424,1563,1367,981,1211,1039,851,2534,2413,1728,2749,2092,1623
Gammaproteobacteria,405186,585112,346501,353383,313517,220810,264535,239203,197978,571412,594295,452321,581017,423337,356720
Gemmatimonadetes,34591,38432,22031,16550,18689,15559,15908,17761,14912,37874,46950,41200,56140,35955,43479
Glaucocystophyceae,11,28,15,11,13,3,7,6,9,24,22,12,22,19,14
Gloeobacteria,2327,3538,1942,2351,1979,1399,1742,1591,1164,3626,3554,2458,3917,2856,2589
Glomeromycetes,1490,1980,1160,1443,1151,1536,980,714,609,2261,2719,910,2592,2288,1197
Gregarinasina,789,1128,585,650,608,419,562,477,346,1124,1007,738,1233,1206,755
Hadesarchaea,269,409,281,211,227,186,174,183,162,348,410,313,414,343,287
Halobacteria,22622,31987,17488,18447,16568,11942,14747,13154,10702,28805,27997,22084,34509,25578,22563
Heterolobosea,716,1064,565,633,502,362,533,412,309,1196,1024,751,1159,860,582
Heterotrichea,830,1155,628,738,553,392,574,445,351,1380,1085,736,1209,867,600
Holophagae,1917,2457,1423,1611,1532,971,1215,1116,948,2406,2786,2074,2944,2262,2127
Ignavibacteria,7557,10785,6291,6539,6418,4262,5233,4877,3901,10645,12167,9408,13448,10253,9444
Kiritimatiellae,461,679,432,508,414,282,364,285,229,595,624,457,794,615,567
Ktedonobacteria,122779,66890,34492,101287,55744,34482,118715,56887,24460,256303,95433,33282,200698,51002,21362
Labyrinthulomycetes,5,11,5,10,9,2,4,6,3,15,22,6,15,5,12
Lecanoromycetes,1012,1411,645,1169,711,460,627,483,455,1549,1242,736,1347,1184,682
Lentisphaeria,326,493,257,313,266,175,222,185,130,452,448,319,565,380,340
Leotiomycetes,27465,37307,16764,25596,18426,12824,14864,12057,10936,42158,30112,19336,33750,26564,18155
Limnochordia,1284,1938,1217,955,1113,819,788,777,748,1426,1578,1450,2070,1710,1712
Litostomatea,2,1,1,1,0,1,2,0,0,5,6,0,2,0,3
Malasseziomycetes,1647,2346,1311,1325,1138,852,1078,948,731,2344,2087,1595,2716,1903,1579
Mamiellophyceae,9039,12396,6383,6523,5703,4191,5470,4591,4001,10847,10552,7959,14040,10423,8889
Mediophyceae,3,4,1,6,6,2,0,0,3,10,1,4,1,8,4
Methanobacteria,1556,2322,1469,1362,1205,891,1051,922,828,2174,2126,1626,2418,1941,1457
Methanococci,455,639,397,348,349,245,300,243,260,638,667,427,655,522,382
Methanomicrobia,9144,13217,8131,8109,7576,5189,6621,5406,4532,13128,13621,9867,15476,10407,9156
Methanopyri,185,210,102,102,104,78,96,100,91,195,134,137,226,157,147
Methylacidiphilae,736,1019,571,1208,705,507,637,555,378,1016,1022,787,1307,998,755
Microbotryomycetes,9980,13422,7272,7315,6582,4666,5962,5337,4191,12514,11896,8872,15357,11218,9668
Mixiomycetes,839,1094,588,643,610,437,558,439,374,1119,991,719,1245,864,729
Mollicutes,2743,3700,1892,1924,1630,1156,1575,1168,1029,3263,3141,2018,3423,2639,1727
Monoblepharidomycetes,2400,3186,1717,1702,1524,1107,1458,1281,1013,3102,2729,2139,3668,2559,2270
